mjd,mag,mage,clcoeff
294.909668,19.882,0.286,
296.916504,20.386,0.867,
328.919922,21.498,1.503,
349.9021,20.393,1.092,
354.869629,21.509,1.577,
379.705322,21.419,0.802,
442.769531,21.454,0.995,
447.760254,20.947,1.139,
494.572998,20.732,0.746,
501.648926,19.695,0.284,
508.543701,20.670,1.422,
510.525879,20.894,1.445,
511.537842,20.477,0.826,
512.565186,21.039,1.716,
513.565674,21.240,1.719,
514.537598,21.312,1.238,
516.543457,21.173,0.795,
517.532715,20.938,0.664,
518.523193,20.951,0.531,
530.560547,19.768,0.585,
531.509277,21.157,0.934,
532.518799,20.298,1.088,
533.522217,19.990,0.443,
534.575928,20.436,0.817,
535.528076,20.247,0.318,
536.50293,20.554,0.402,
537.505371,20.356,0.467,
538.499512,20.391,0.277,
539.496582,20.200,0.213,
540.497803,20.249,0.225,
554.536133,18.965,0.085,
557.583008,18.784,0.129,
558.52417,18.629,0.185,
559.561768,18.732,0.092,
560.540527,18.522,0.078,
561.557861,18.504,0.073,
562.528076,18.547,0.075,
563.489746,18.521,0.047,
564.546143,18.435,0.054,
568.550293,18.322,0.073,
569.507324,18.308,0.044,
570.508545,18.300,0.054,
574.504883,18.223,0.073,
575.526367,18.112,0.055,
583.502441,18.054,0.051,
588.500244,17.939,0.062,
589.4729,17.886,0.061,
590.481201,17.851,0.090,
592.47998,17.792,0.056,
596.471436,17.731,0.048,
697.89209,16.210,0.028,
708.891602,16.064,0.025,
727.873779,16.015,0.025,
729.852051,16.003,0.031,
730.722412,16.004,0.032,
741.737305,16.389,0.142,
748.77002,16.057,0.028,
754.75708,15.974,0.031,
759.818115,15.900,0.028,
762.662109,15.838,0.028,
772.838379,15.855,0.027,
775.833496,15.841,0.031,
780.670898,15.891,0.029,
783.625,15.938,0.031,
786.597168,16.021,0.029,
786.695312,16.021,0.027,
788.73584,16.071,0.035,
792.683594,16.145,0.027,
797.576904,16.226,0.026,
799.799561,16.247,0.027,
802.743164,16.263,0.029,
808.819336,16.187,0.029,
811.856689,16.105,0.028,
818.811523,15.864,0.024,
821.795898,15.731,0.025,
825.788574,15.574,0.029,
828.627686,15.507,0.029,
833.778076,15.470,0.030,
842.597168,15.485,0.031,
845.605225,15.505,0.030,
851.736328,15.587,0.030,
857.760986,15.635,0.022,
862.716064,15.615,0.022,
870.634766,15.591,0.030,
875.5625,15.504,0.033,
878.598145,15.447,0.030,
894.598877,15.311,0.033,
900.557373,15.323,0.029,
904.636963,15.299,0.028,
931.510986,15.373,0.030,
941.536377,15.256,0.024,
947.514893,15.157,0.018,
1003.916748,14.956,0.025,
1004.896484,14.921,0.035,
1010.916992,14.911,0.022,
1021.91748,15.059,0.035,
1032.863281,15.137,0.035,
1033.875244,15.158,0.033,
1037.836914,15.174,0.037,
1039.86084,15.181,0.031,
1059.868164,14.789,0.023,
1064.765381,14.745,0.031,
1068.802246,14.774,0.039,
1071.828613,14.793,0.035,
1073.786621,14.791,0.021,
1075.81665,14.827,0.037,
1076.886719,14.832,0.033,
1078.809814,14.864,0.039,
1080.767578,14.898,0.032,
1082.854248,14.895,0.023,
1084.834717,14.955,0.037,
1086.70752,14.986,0.035,
1089.673828,15.026,0.025,
1091.78418,15.028,0.027,
1091.88501,15.028,0.030,
1093.825928,15.036,0.029,
1096.694336,15.057,0.026,
1098.698242,15.042,0.033,
1101.862549,14.967,0.022,
1108.817871,14.811,0.027,
1111.806641,14.755,0.020,
1114.739258,14.717,0.032,
1117.685547,14.669,0.035,
1120.679932,14.609,0.030,
1122.792725,14.602,0.025,
1124.642578,14.640,0.027,
1125.803711,14.633,0.031,
1126.638916,14.664,0.041,
1128.722168,14.680,0.039,
1129.707031,14.679,0.035,
1130.672363,14.697,0.038,
1135.774658,14.742,0.039,
1138.838867,14.764,0.034,
1140.612793,14.793,0.033,
1140.727539,14.787,0.040,
1142.775879,14.798,0.034,
1145.699707,14.826,0.031,
1148.586426,14.860,0.029,
1148.722656,14.866,0.031,
1149.695312,14.877,0.031,
1150.677246,14.906,0.028,
1151.72998,14.901,0.032,
1152.820312,14.908,0.025,
1153.669922,14.916,0.032,
1155.852539,14.882,0.030,
1157.647461,14.883,0.033,
1162.703613,14.809,0.033,
1164.689941,14.782,0.036,
1166.79541,14.745,0.026,
1168.654297,14.713,0.033,
1170.726562,14.690,0.039,
1173.684082,14.642,0.038,
1175.73584,14.604,0.037,
1179.76001,14.568,0.025,
1181.720703,14.556,0.032,
1186.706055,14.579,0.034,
1190.723633,14.615,0.038,
1191.712402,14.627,0.039,
1193.642578,14.657,0.038,
1195.699219,14.657,0.024,
1197.649658,14.665,0.040,
1198.660156,14.673,0.042,
1200.680176,14.687,0.025,
1202.619629,14.712,0.035,
1204.662109,14.728,0.033,
1206.671143,14.732,0.034,
1208.722656,14.721,0.028,
1210.691406,14.717,0.023,
1212.596191,14.711,0.038,
1215.648438,14.677,0.037,
1215.781738,14.854,0.035,
1217.715332,14.661,0.035,
1220.669922,14.640,0.037,
1224.633301,14.611,0.031,
1227.636719,14.586,0.037,
1231.626221,14.510,0.035,
1234.685059,14.437,0.028,
1237.664551,14.380,0.027,
1240.637207,14.336,0.018,
1242.634033,14.325,0.026,
1244.633301,14.326,0.032,
1246.682129,14.343,0.034,
1252.580566,14.414,0.028,
1253.59375,14.437,0.033,
1256.562744,14.549,0.023,
1258.56665,14.666,0.035,
1262.579834,14.906,0.027,
1263.556641,14.961,0.025,
1264.492188,15.028,0.025,
1266.57373,15.191,0.026,
1268.553711,15.378,0.023,
1272.592285,15.761,0.024,
1274.557861,16.012,0.028,
1276.569336,16.335,0.028,
1278.57666,16.898,0.033,
1280.610352,17.671,0.045,
1282.544922,18.344,0.058,
1284.550781,19.476,0.163,
1291.535889,20.076,0.282,
1296.52417,20.527,0.702,
1298.531006,19.418,0.418,
1302.540039,19.888,0.298,
1306.539307,20.766,0.550,
1310.519043,20.622,0.518,
1318.521973,19.913,0.502,
1341.937256,20.262,0.782,
1367.872314,19.346,0.271,
1381.89917,18.955,0.104,
1384.830566,19.051,0.117,
1386.925537,18.879,0.158,
1390.840332,18.852,0.154,
1396.903076,19.227,0.329,
1397.876709,19.021,0.147,
1410.87207,18.891,0.118,
1418.85498,18.401,0.092,
1438.838379,17.754,0.050,
1442.807617,17.836,0.060,
1443.748047,17.735,0.062,
1443.896973,17.858,0.050,
1444.740723,17.648,0.075,
1445.890381,17.886,0.061,
1447.809082,17.806,0.064,
1448.692871,17.917,0.065,
1449.763184,17.935,0.073,
1450.786133,17.963,0.058,
1451.762695,18.005,0.050,
1455.765625,17.977,0.080,
1459.77002,18.172,0.069,
1462.717041,18.178,0.085,
1464.69873,18.255,0.079,
1467.725342,18.405,0.073,
1469.677734,18.317,0.063,
1471.680664,18.216,0.071,
1475.713379,18.042,0.059,
1476.70752,17.988,0.071,
1478.696777,17.904,0.064,
1480.817871,17.705,0.102,
1482.707031,17.760,0.080,
1484.716309,17.539,0.042,
1490.716064,17.185,0.038,
1492.665527,17.097,0.037,
1494.648926,17.046,0.038,
1496.672852,16.979,0.037,
1498.663574,16.882,0.033,
1499.640381,16.864,0.031,
1501.642334,16.792,0.036,
1503.668945,16.667,0.033,
1509.672119,16.491,0.032,
1511.692383,16.406,0.029,
1524.651367,15.957,0.030,
1526.668457,15.908,0.027,
1528.660645,15.848,0.025,
1530.694336,15.754,0.021,
1532.644287,15.649,0.026,
1538.628906,15.413,0.027,
1547.661133,15.379,0.032,
1549.66748,15.356,0.029,
1551.692139,15.351,0.026,
1553.686035,15.326,0.029,
1555.661133,15.328,0.032,
1558.681885,15.257,0.028,
1562.714844,15.197,0.027,
1564.637695,15.188,0.025,
1567.69043,15.181,0.026,
1569.674561,15.175,0.028,
1571.669678,15.152,0.034,
1576.654541,15.097,0.032,
1578.594238,15.059,0.033,
1580.616699,14.996,0.024,
1582.616211,14.937,0.038,
1586.607422,14.739,0.104,
1588.601807,14.902,0.038,
1590.608154,14.892,0.033,
1592.602783,14.883,0.031,
1595.737061,14.840,0.019,
1596.596436,14.835,0.027,
1600.647705,14.732,0.031,
1605.579102,14.663,0.035,
1608.59082,14.638,0.035,
1611.57959,14.581,0.033,
1615.57666,14.528,0.033,
1618.587891,14.513,0.031,
1621.554688,14.502,0.028,
1622.552246,14.497,0.025,
1625.596191,14.504,0.029,
1628.560791,14.592,0.049,
1633.550781,14.513,0.040,
1640.551758,14.511,0.033,
1644.541748,14.499,0.034,
1653.55957,14.377,0.027,
1656.557617,14.343,0.036,
1659.529053,14.308,0.039,
1711.936035,14.233,0.019,
1730.918945,14.211,0.050,
1745.828857,14.219,0.025,
1749.85376,14.251,0.036,
1755.830078,14.194,0.015,
1759.844727,14.207,0.038,
1763.805176,14.210,0.043,
1766.836426,14.186,0.026,
1771.883545,14.178,0.016,
1774.876221,14.182,0.030,
1779.810059,14.153,0.025,
1784.774414,14.117,0.042,
1786.76709,14.126,0.049,
1790.832031,14.076,0.045,
1791.786621,14.087,0.042,
1794.848145,14.049,0.046,
1804.821533,14.061,0.033,
1809.838379,14.028,0.041,
1811.816895,14.012,0.041,
1813.812988,13.994,0.044,
1815.79541,13.966,0.039,
1818.782227,13.960,0.040,
1820.69873,13.940,0.022,
1822.710205,13.934,0.040,
1824.70752,13.939,0.042,
1826.742188,13.906,0.020,
1828.718506,13.893,0.031,
1830.80127,13.862,0.023,
1833.795898,13.852,0.029,
1835.776123,13.858,0.031,
1838.804199,13.869,0.043,
1842.845703,13.903,0.030,
1844.771484,13.928,0.050,
1847.797363,13.948,0.041,
1851.630859,13.989,0.037,
1851.847168,13.983,0.041,
1856.645508,13.981,0.025,
1861.706055,13.972,0.032,
1864.637451,13.940,0.042,
1866.650635,13.949,0.041,
1868.644531,13.916,0.042,
1870.659424,13.916,0.038,
1872.696777,13.890,0.034,
1874.640137,13.885,0.043,
1878.669434,13.847,0.047,
1880.653809,13.840,0.048,
1882.658691,13.870,0.041,
1884.668945,13.861,0.042,
1886.662598,13.864,0.035,
1887.660156,13.849,0.033,
1888.673828,13.847,0.040,
1889.644531,13.838,0.038,
1891.661377,13.874,0.016,
1892.842285,13.884,0.024,
1893.680664,13.900,0.019,
1894.835938,13.899,0.034,
1896.797363,13.914,0.039,
1898.609863,13.960,0.042,
1900.763184,13.975,0.044,
1902.619629,14.035,0.046,
1904.758545,14.050,0.043,
1906.832031,14.062,0.043,
1909.775879,14.118,0.042,
1911.770508,14.139,0.048,
1913.705811,14.154,0.048,
1916.586914,14.151,0.026,
1917.818359,14.146,0.036,
1919.696777,14.130,0.028,
1921.653564,14.102,0.033,
1922.834473,14.082,0.034,
1923.668457,14.085,0.030,
1925.726562,14.029,0.042,
1927.746582,14.028,0.038,
1929.680176,14.029,0.045,
1931.649414,14.031,0.044,
1933.749512,14.041,0.044,
1935.685547,14.034,0.045,
1937.691895,14.031,0.042,
1938.678711,14.031,0.036,
1939.614746,14.028,0.047,
1940.59082,14.027,0.039,
1941.617432,14.011,0.045,
1943.79248,14.023,0.041,
1945.746582,14.005,0.028,
1946.765625,14.013,0.019,
1951.722168,14.041,0.032,
1953.70752,14.055,0.035,
1955.678711,14.049,0.040,
1957.668945,14.031,0.043,
1959.646973,14.018,0.045,
1962.732422,14.004,0.050,
1965.601074,13.998,0.044,
1968.633789,14.011,0.046,
1970.602295,14.001,0.045,
1973.604492,14.022,0.041,
1976.602051,14.039,0.026,
1979.607178,14.073,0.026,
1981.590576,14.096,0.043,
1987.591064,14.157,0.036,
1993.571777,14.213,0.036,
1998.544922,14.217,0.033,
2001.582031,14.167,0.037,
2007.54248,14.156,0.025,
2009.515137,14.153,0.034,
2014.543945,14.098,0.036,
2017.558594,14.098,0.038,
2027.557617,14.080,0.029,
2031.513672,14.077,0.030,
2038.541016,14.097,0.025,
2049.481445,14.130,0.043,
2056.460449,14.155,0.039,
2081.921387,13.967,0.042,
2093.928711,13.980,0.037,
2104.880859,14.077,0.041,
2113.865234,14.129,0.026,
2127.827148,13.985,0.016,
2130.827148,13.969,0.034,
2133.931641,13.930,0.022,
2140.830566,13.908,0.047,
2144.801758,13.964,0.049,
2155.786133,14.128,0.014,
2162.750977,14.370,0.043,
2167.794434,14.576,0.036,
2169.788086,14.648,0.023,
2172.78418,14.806,0.035,
2174.779297,14.910,0.036,
2183.764648,15.640,0.024,
2184.751953,15.746,0.025,
2185.676758,15.874,0.026,
2187.765625,16.124,0.028,
2190.744141,16.481,0.031,
2191.735352,16.624,0.033,
2193.765137,16.917,0.033,
2195.714844,17.214,0.038,
2196.618164,17.314,0.041,
2198.833984,17.791,0.042,
2200.777344,18.269,0.062,
2202.685547,18.782,0.088,
2203.788086,19.278,0.117,
2206.80957,19.997,0.606,
2207.794922,20.027,0.548,
2214.605469,20.027,0.712,
2216.627441,21.090,1.521,
2218.845215,19.906,0.364,
2224.775879,21.415,0.907,
2227.625,21.024,1.577,
2229.62207,21.015,0.987,
2230.615234,21.457,1.074,
2238.584961,21.144,1.025,
2240.604492,20.572,1.089,
2241.80957,20.809,1.012,
2243.845703,21.406,1.064,
2245.669922,20.507,1.594,
2248.800781,20.958,1.420,
2251.660156,20.709,1.574,
2257.650879,20.690,0.925,
2259.628906,20.952,1.632,
2261.609375,20.710,0.739,
2270.629883,20.982,1.577,
2298.721191,19.952,0.458,
2299.756836,21.176,0.935,
2301.703613,19.675,0.737,
2302.697266,19.597,0.627,
2305.697266,20.171,0.900,
2307.675293,21.377,0.935,
2310.682129,20.870,1.555,
2312.727539,20.036,0.502,
2315.686035,20.865,0.983,
2317.655762,20.250,0.544,
2319.65332,21.172,0.661,
2320.65332,21.014,1.577,
2322.644531,20.231,0.465,
2324.610352,21.386,1.152,
2325.642578,20.573,0.603,
2327.661133,20.834,1.577,
2329.657227,20.006,0.422,
2330.608398,20.712,1.577,
2335.649414,19.733,0.479,
2343.581055,21.050,1.596,
2345.569336,20.876,1.271,
2346.609375,20.401,0.885,
2347.571289,20.217,0.636,
2350.594727,21.025,1.407,
2352.658203,20.588,1.683,
2354.563477,20.565,1.003,
2392.503906,20.312,1.442,
2397.495117,20.396,0.844,
2403.522949,20.310,0.884,
2425.477539,19.621,0.905,
2466.898926,20.070,0.482,
2483.87793,19.605,0.409,
2488.879883,19.924,0.824,
2504.80957,19.199,1.372,
2508.856445,19.581,0.571,
2511.814941,19.046,0.175,
2518.813477,18.930,0.138,
2519.835938,18.868,0.098,
2534.783691,17.969,0.062,
2535.826172,18.026,0.054,
2536.741699,17.924,0.135,
2545.792969,17.842,0.056,
2547.789551,17.829,0.068,
2548.78125,17.803,0.059,
2551.765625,17.855,0.055,
2552.764648,17.892,0.051,
2554.731445,17.869,0.057,
2556.715332,17.986,0.054,
2558.774414,18.066,0.059,
2561.684082,18.197,0.083,
2562.723633,18.239,0.064,
2564.699219,18.284,0.084,
2566.815918,18.230,0.102,
2572.712402,18.690,0.158,
2578.698242,18.598,0.100,
2579.682617,18.749,0.095,
2580.694336,18.750,0.093,
2582.675293,18.738,0.110,
2584.547363,18.504,0.200,
2584.581055,18.795,0.244,
2584.825195,18.725,0.081,
2591.563965,19.135,0.723,
2591.734375,19.014,0.202,
2593.862305,18.958,0.404,
2594.786133,18.867,0.569,
2597.55957,19.062,0.220,
2597.850098,19.291,0.424,
2601.612305,18.948,0.132,
2601.859375,18.969,0.136,
2604.801758,19.001,0.083,
2607.549805,19.085,0.205,
2607.791016,19.164,0.125,
2611.583008,19.121,0.144,
2614.57666,19.184,0.138,
2614.805664,19.154,0.131,
2627.754883,19.036,0.224,
2630.584961,19.515,0.242,
2630.806152,19.566,0.288,
2633.568359,20.043,0.301,
2633.783203,19.739,0.290,
2636.576172,20.473,0.407,
2636.802734,20.157,0.534,
2639.689453,20.318,0.403,
2639.78418,20.596,0.643,
2642.570312,19.947,0.337,
2642.714355,21.149,1.577,
2645.648438,20.827,0.674,
2645.71582,20.884,0.769,
2648.572266,21.086,1.299,
2648.786621,20.580,0.583,
2651.56543,20.086,0.452,
2651.849609,21.053,1.577,
2651.861328,20.639,1.364,
2655.702148,20.486,0.697,
2655.743164,20.195,0.394,
2658.576172,20.451,0.933,
2658.761719,19.662,0.556,
2658.849121,19.131,1.577,
2661.700684,20.349,0.664,
2661.810547,20.781,1.577,
2664.571289,21.466,0.831,
2664.784668,20.450,1.095,
2673.569824,20.859,1.164,
2673.794922,20.656,0.682,
2680.701172,20.410,0.735,
2683.583008,21.466,0.905,
2686.569336,21.460,1.086,
